ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
39,male,group b,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58
40,male,group c,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52
41,female,group c,associate's degree,standard,none,divorced,regularly,no,1.0,unknown,5 - 10,59,74,69
42,male,group b,some college,free/reduced,unknown,married,regularly,yes,3.0,school_bus,5 - 10,60,65,67
43,female,group e,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52
44,male,group b,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55
45,female,group c,high school,standard,none,married,regularly,yes,0.0,private,5 - 10,67,72,77
46,male,group c,high school,standard,completed,married,sometimes,unknown,3.0,unknown,5 - 10,82,84,82
47,male,group e,some college,standard,none,married,unknown,no,3.0,school_bus,> 10,54,55,48
48,male,unknown,associate's degree,free/reduced,completed,married,regularly,no,2.0,private,< 5,76,68,68
49,male,group c,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43
50,male,group d,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75
51,female,unknown,some high school,free/reduced,completed,married,regularly,yes,0.0,private,> 10,75,86,90
52,female,group c,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43
53,female,group e,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87
54,male,group d,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49
55,male,group d,unknown,standard,completed,married,regularly,no,1.0,private,> 10,61,60,60
56,female,group c,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10
57,male,group a,some high school,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,39,39,34
58,male,group a,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55
59,female,group d,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59
60,male,group b,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58
61,male,group d,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37
62,female,group c,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75
63,male,group b,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,unknown,62,58,57
64,female,group c,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57
65,male,group d,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64
66,female,group a,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49
67,male,group c,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54
68,male,group c,some high school,standard,unknown,married,sometimes,yes,2.0,private,< 5,47,48,40
69,male,group b,associate's degree,free/reduced,none,divorced,sometimes,no,0.0,school_bus,5 - 10,44,41,38
70,male,group e,some high school,standard,none,unknown,sometimes,no,5.0,school_bus,5 - 10,28,25,21
71,male,group a,unknown,standard,completed,unknown,regularly,yes,0.0,unknown,5 - 10,82,79,83
72,female,group d,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73
73,female,group e,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68
74,female,group b,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52
75,male,group b,high school,free/reduced,none,married,sometimes,yes,0.0,private,unknown,49,45,45
76,male,group a,some college,free/reduced,completed,married,sometimes,no,0.0,school_bus,5 - 10,50,47,54
77,male,group e,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64
78,male,group d,high school,free/reduced,none,married,never,unknown,3.0,private,5 - 10,40,38,33
79,female,group c,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82
80,female,group c,some college,free/reduced,none,married,sometimes,yes,0.0,school_bus,< 5,73,81,86
81,female,group d,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74
82,female,group a,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67
83,female,group d,some high school,standard,none,single,sometimes,yes,0.0,private,> 10,75,87,83
84,male,group c,high school,free/reduced,none,divorced,regularly,no,4.0,unknown,5 - 10,27,34,36
85,male,group c,high school,standard,none,divorced,sometimes,no,1.0,unknown,< 5,68,77,69
86,male,group c,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52
87,female,group b,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94
88,male,group b,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61
89,female,unknown,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69,66
90,female,group d,some college,free/reduced,none,single,regularly,yes,2.0,unknown,> 10,61,69,64
91,female,group d,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62
92,male,group b,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67
93,male,group d,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74
94,female,group d,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91
95,male,group b,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48
96,male,unknown,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88,94
97,female,group c,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72
98,female,group d,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100
99,male,group e,unknown,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63,64
100,female,group b,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70
101,female,group b,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73
102,female,group d,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99
103,male,group c,high school,standard,none,single,regularly,no,6.0,unknown,5 - 10,63,55,50
104,male,group a,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47
105,female,group d,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51
106,female,group e,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100
107,male,group c,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74
108,female,group b,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79
109,female,group d,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77
110,female,group d,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63
111,female,group c,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65
112,female,group c,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86
113,male,group b,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90
114,female,group c,some college,standard,completed,single,regularly,yes,1.0,unknown,5 - 10,90,94,95
115,male,group d,high school,free/reduced,none,married,sometimes,no,3.0,private,unknown,63,57,56
116,male,group e,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73
117,female,group b,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85
118,male,group b,unknown,standard,none,married,unknown,no,3.0,private,5 - 10,72,68,67
119,male,group d,some college,standard,unknown,married,regularly,no,3.0,school_bus,< 5,64,76,74
120,male,group d,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72
121,female,group a,bachelor's degree,standard,none,unknown,regularly,yes,0.0,school_bus,5 - 10,52,49,52
122,male,group d,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82
123,male,group c,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40
124,male,unknown,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75,71
125,female,unknown,some college,standard,completed,married,never,no,6.0,unknown,< 5,70,78,80
126,male,group d,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76
127,male,group c,bachelor's degree,standard,none,married,sometimes,yes,1.0,unknown,< 5,56,54,47
128,male,group b,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41
129,male,group e,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54
130,female,group c,associate's degree,standard,unknown,married,sometimes,yes,1.0,private,5 - 10,59,66,67
131,male,group d,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70
132,female,group d,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71
133,female,group c,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65
134,female,group e,some college,free/reduced,completed,single,regularly,unknown,1.0,private,< 5,41,54,54
135,male,group a,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47
136,male,group d,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79
137,female,group c,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33
138,female,group d,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79
139,male,group e,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100,95
140,male,group a,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69
141,female,group b,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64
142,male,group d,bachelor's degree,standard,none,married,sometimes,no,1.0,unknown,5 - 10,54,49,47
143,male,group d,some high school,standard,none,single,never,no,2.0,unknown,< 5,58,65,58
144,female,group c,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88
145,female,group e,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79
146,male,group b,unknown,free/reduced,none,unknown,sometimes,yes,2.0,school_bus,< 5,58,59,58
147,female,group b,associate's degree,standard,unknown,divorced,regularly,yes,2.0,private,5 - 10,62,87,89
148,male,group d,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66
149,male,group b,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74
150,female,group e,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85
151,male,group b,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52
152,male,group c,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49
153,female,group e,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86
154,female,group c,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100
155,male,group c,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51
156,female,group b,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83
157,female,group b,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79
158,male,group a,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77
159,male,group e,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76
160,female,group d,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78
161,female,group c,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70
162,female,group c,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52
163,female,group c,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89
164,female,group b,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56
165,female,group c,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,< 5,70,76,77
166,female,group b,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65
167,female,group d,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100
168,male,group c,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75
169,female,group c,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66
170,female,group e,high school,standard,none,married,sometimes,yes,3.0,private,unknown,50,50,47
171,female,group d,associate's degree,standard,none,single,sometimes,no,0.0,private,< 5,63,67,68
172,male,group c,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62
173,male,group e,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62
174,male,group d,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68
175,male,group b,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45
176,female,group c,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85
177,female,group e,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69
178,male,group d,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77
179,female,group b,some high school,standard,none,single,sometimes,no,3.0,private,unknown,62,64,66
180,male,group d,some college,standard,completed,married,regularly,yes,4.0,unknown,unknown,79,62,63
181,female,group c,master's degree,standard,completed,unknown,regularly,yes,1.0,school_bus,< 5,69,85,87
182,male,group d,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52
183,male,group c,unknown,free/reduced,completed,married,never,yes,1.0,school_bus,5 - 10,57,67,63
184,male,group e,high school,free/reduced,none,married,unknown,no,7.0,private,> 10,56,56,52
185,female,group b,some college,free/reduced,none,widowed,regularly,yes,3.0,unknown,> 10,47,54,57
186,female,group b,bachelor's degree,free/reduced,unknown,married,regularly,yes,3.0,private,5 - 10,80,80,77
187,female,group c,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86
188,female,group d,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75
189,male,group c,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69
190,female,unknown,associate's degree,standard,none,unknown,regularly,yes,2.0,school_bus,5 - 10,58,70,69
191,male,group c,some college,standard,none,single,regularly,yes,1.0,unknown,< 5,58,40,42
192,male,group d,some high school,standard,completed,married,unknown,yes,0.0,school_bus,< 5,71,69,76
193,male,group e,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63
194,male,group e,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77
195,female,group b,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76
196,female,group b,some college,free/reduced,unknown,single,sometimes,no,2.0,unknown,unknown,58,61,66
197,male,group d,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77
198,male,group c,some college,free/reduced,unknown,married,sometimes,yes,3.0,school_bus,5 - 10,35,28,27
199,female,group c,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60
200,male,group c,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57
201,male,group e,high school,standard,unknown,married,sometimes,yes,1.0,private,5 - 10,87,91,81
202,male,group b,some high school,standard,completed,unknown,regularly,no,2.0,private,5 - 10,86,84,76
203,female,group e,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86
204,female,group c,high school,free/reduced,unknown,married,regularly,no,3.0,unknown,< 5,33,41,39
205,male,group b,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68
206,male,group b,some high school,standard,completed,single,never,no,1.0,unknown,5 - 10,59,55,54
207,female,group d,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75
208,male,group b,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74
209,female,group c,some high school,free/reduced,unknown,divorced,sometimes,no,3.0,unknown,5 - 10,55,65,62
210,male,group d,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76
211,female,group b,associate's degree,standard,completed,divorced,regularly,unknown,3.0,school_bus,> 10,55,67,76
212,female,group e,master's degree,free/reduced,none,married,sometimes,no,0.0,private,< 5,43,55,52
213,female,group c,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71
214,male,group d,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55
215,male,group a,unknown,free/reduced,none,divorced,sometimes,no,4.0,school_bus,5 - 10,68,72,64
216,female,group c,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98
217,male,group d,some college,standard,none,married,regularly,yes,0.0,unknown,5 - 10,78,64,67
218,male,group c,associate's degree,standard,none,married,regularly,unknown,1.0,private,5 - 10,47,43,43
219,female,group b,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83
220,male,group e,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79
221,male,group c,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83,85
222,male,group d,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77,80
223,male,group d,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67
224,female,group d,some high school,standard,unknown,married,sometimes,yes,4.0,school_bus,< 5,62,59,72
225,male,group b,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53
226,male,group c,associate's degree,standard,none,unknown,sometimes,yes,1.0,private,5 - 10,84,80,80
227,male,group d,high school,free/reduced,completed,divorced,unknown,yes,1.0,private,> 10,75,69,67
228,female,group e,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85
229,male,group e,some college,standard,unknown,single,regularly,no,2.0,school_bus,< 5,58,50,43
230,male,group d,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69
231,male,group c,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69
232,male,group e,associate's degree,standard,unknown,married,regularly,no,2.0,school_bus,5 - 10,91,77,75
233,female,group b,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68
234,female,group b,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60
235,male,unknown,high school,standard,none,married,sometimes,no,2.0,school_bus,> 10,70,60,54
236,male,group a,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49
237,female,group d,some college,free/reduced,none,married,regularly,unknown,4.0,school_bus,< 5,70,82,83
238,female,group b,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70
239,male,group d,master's degree,standard,none,married,sometimes,no,3.0,school_bus,unknown,80,80,72
240,male,group d,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52
241,female,group e,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70
242,female,group c,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66
243,male,unknown,associate's degree,standard,completed,married,regularly,unknown,1.0,school_bus,5 - 10,80,78,78
244,female,group c,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78
245,male,group c,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78
246,female,group c,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52
247,female,group e,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90
248,male,group d,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68
249,male,group d,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40
250,female,unknown,bachelor's degree,standard,none,married,sometimes,no,2.0,school_bus,< 5,61,73,79
251,female,group d,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73,78
252,female,group d,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94,99
253,female,group e,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,unknown,71,76,70
254,male,group c,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63,61
255,male,group c,some college,standard,unknown,single,regularly,yes,1.0,unknown,< 5,57,48,42
256,female,group d,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53,59
257,female,group d,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70,71
258,male,group b,some college,standard,completed,widowed,unknown,yes,1.0,school_bus,< 5,85,83,74
259,male,group c,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78,73
260,female,group c,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90,91
261,female,group e,unknown,standard,completed,single,sometimes,no,4.0,school_bus,< 5,57,62,73
262,female,group c,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86,80
263,male,group b,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56,57
264,male,group d,high school,standard,none,divorced,sometimes,no,0.0,private,5 - 10,45,48,46
265,female,group d,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80,86
266,female,group d,some college,free/reduced,completed,unknown,never,yes,2.0,school_bus,5 - 10,67,76,76
267,female,unknown,some high school,standard,none,married,regularly,yes,0.0,private,< 5,36,45,46
268,male,group b,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79
269,male,group e,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90
270,female,group b,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87,80
271,male,group b,bachelor's degree,free/reduced,none,single,sometimes,yes,0.0,unknown,< 5,85,73,74
272,male,unknown,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,79,77,78
273,male,group c,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70,68
274,male,group d,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71,68
275,male,group c,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,61,59,55
276,female,group e,bachelor's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,66,74,76
277,male,group d,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10,80,78,82
278,male,group b,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,66,61,59
279,male,unknown,some high school,standard,completed,widowed,regularly,no,2.0,school_bus,5 - 10,47,41,44
280,male,unknown,associate's degree,standard,completed,single,regularly,no,1.0,school_bus,5 - 10,73,75,69
281,male,group c,unknown,free/reduced,completed,single,regularly,no,2.0,private,< 5,39,45,50
282,male,group d,associate's degree,free/reduced,none,married,regularly,no,2.0,unknown,< 5,89,86,75
283,male,group a,some college,free/reduced,completed,married,never,yes,2.0,private,< 5,76,75,77
284,male,group d,some high school,free/reduced,unknown,divorced,regularly,no,4.0,school_bus,< 5,55,53,52
285,female,group c,associate's degree,standard,completed,single,never,yes,5.0,school_bus,> 10,66,83,80
286,male,group b,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,77,65
287,female,group c,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,76,76,85
288,male,group a,some college,standard,none,unknown,sometimes,yes,7.0,private,5 - 10,69,67,69
289,male,group e,some college,standard,completed,divorced,regularly,yes,5.0,private,5 - 10,100,88,83
290,male,group c,some high school,standard,none,single,regularly,no,2.0,unknown,5 - 10,52,52,45
291,female,group b,associate's degree,free/reduced,none,married,regularly,no,3.0,private,> 10,56,73,70
292,female,group d,high school,free/reduced,unknown,single,regularly,yes,5.0,unknown,< 5,48,56,52
293,female,group b,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,73,76,80
294,male,group b,bachelor's degree,standard,none,married,never,yes,3.0,school_bus,< 5,62,58,54
295,male,group d,bachelor's degree,standard,completed,single,sometimes,yes,0.0,private,unknown,67,61,68
296,female,group c,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,> 10,70,68,70
297,male,group c,high school,standard,none,married,regularly,no,3.0,private,5 - 10,73,66,66
