_id,comment,score.neg,score.neu,score.pos,score.compound,sentiment
67c3bfd6b702a263cd40cc1c,Album for Pornhub,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc1d,My favorite,0,0.25,0.75,0.4588,Positive
67c3bfd6b702a263cd40cc1e,Nice plan for,0,0.417,0.583,0.4215,Positive
67c3bfd6b702a263cd40cc1f,Me and my dad love you and your rapping ❤❤pin my please,0,0.606,0.394,0.7579,Positive
67c3bfd6b702a263cd40cc20,Mianup🎉,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc21,FICOU TOP MANOOOOO,0,0.526,0.474,0.2023,Positive
67c3bfd6b702a263cd40cc22,💃🏾🪩🕺🏾,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc23,❤❤❤❤,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc24,so glad you&#39;re coming to Houston soon!,0,0.626,0.374,0.5551,Positive
67c3bfd6b702a263cd40cc25,"<a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=83"">1:23</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=84"">1:24</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=85"">1:25</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=86"">1:26</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=86"">1:26</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=86"">1:26</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=86"">1:26</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=87"">1:27</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=87"">1:27</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=88"">1:28</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=88"">1:28</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=89"">1:29</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=89"">1:29</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=89"">1:29</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=89"">1:29</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=90"">1:30</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=90"">1:30</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=91"">1:31</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=91"">1:31</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=91"">1:31</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=92"">1:32</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=92"">1:32</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=93"">1:33</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=93"">1:33</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=93"">1:33</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=94"">1:34</a>  <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=90"">1:30</a>",0,1,0,0,Neutral
67c3bfd6b702a263cd40cc26,💣💣💣,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc27,p,0,0,0,0,Neutral
67c3bfd6b702a263cd40cc28,This makes me wanna fight,0.394,0.606,0,-0.3818,Negative
67c3bfd6b702a263cd40cc29,❤,0,0,0,0,Neutral
67c3bfd6b702a263cd40cc2a,"<a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=16"">0:16</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=17"">0:17</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=17"">0:17</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=18"">0:18</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=19"">0:19</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=19"">0:19</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=20"">0:20</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=20"">0:20</a>",0,1,0,0,Neutral
67c3bfd6b702a263cd40cc2b,🔥🔥🔥🔥,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc2c,Lo que sea que le haya pasado a cannon,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc2d,Remix with Ice Cube like button ➡️➡️,0,0.706,0.294,0.3612,Positive
67c3bfd6b702a263cd40cc2e,🥦🥦🥦,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc2f,Sigma,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc30,W music 🎉🎉🎉🎉🎉🎉🎉 ŵwwwwww,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc31,"God knows<br>I am reincarnated<br>I was stargazin&#39;<br>Life goes on, I need all my babies (gyah, gyah)<br>Woke up lookin&#39; for the broccoli<br>High-key, keep a horn on me, that Kamasi<br>IP, ownership, the blueprint is by me<br>Mr. Get Off, I get off at my feet<br>When I hear music, it makes me dance<br>You got the music, now is your chance<br>A yee nigga couldn&#39;t try me in the tri-state<br>Buddy pass, bet I get him splashed &#39;til he hydrated<br>Bounce out, know he spook town, eyes dilated<br>I got the money and the power both gyratin&#39;<br>I feel good, get the fuck out my face<br>Look good, but shе don&#39;t got no taste<br>I walk in, walked out with the safe<br>Mando, let me know what the play<br>What the fuck?<br>I got hits, I got bucks, I got new paper cuts<br>I got friends, I got foes, but they all sitting ducks<br>Hit his turf and get crackin&#39;, double back like a deluxe<br>50 deep, but it ain&#39;t deep enough<br>Fuck a plea, there he go, beat him up<br>Fallin&#39; from my money tree, and it grow throughout the months<br>Spit a loogie at the camera, speed off, yeah, it&#39;s us<br>I feel good, get the fuck out my face<br>Look good, but she don&#39;t got no taste<br>I walk in, walked out with the safe<br>Mando, let me know what the play<br>Squabble up, squabble up<br>Squabble up, squabble up<br>Squabble up (mm, mm), squabble up (mm, mm)<br>Squabble up (mm, mm), squabble up<br>Hol&#39; up (hol&#39; up)<br>Where you from? (Where you from?)<br>My bitch (my bitch)<br>I&#39;m finna go dumb (finna go dumb)<br>Sideways (sideways)<br>Bunk skunk (bunk skunk)<br>Fever (fever)<br>I&#39;m on one (I&#39;m on one)<br>Thunk, thunk, thunk, thunk, thunk, baby rockin&#39; it<br>Quid pro quo, what you want? &#39;Cause I&#39;m watchin&#39; it<br>Work on the floor, let me know if you clockin&#39; it<br>Brodie won&#39;t go, but I know that he poppin&#39; it<br>It was woof tickets on sale &#39;til I silenced it<br>Pipe down, young, these some whole other politics<br>Bitch with him and some bitch in him, that&#39;s a lot of bitch<br>Don&#39;t hit him, he got kids with him, my apologies<br>Ghetto child, it was Black &amp; Milds with the Smirnoff<br>Yeehaw, we outside, whoadie &#39;bout to kill him off<br>Blaps on blaps, it&#39;s a fact, this a brick of raw<br>Tell me, why the fuck you niggas rap if it&#39;s fictional?<br>Tell me, why the fuck you niggas fed if you criminal?<br>&quot;Hey Dot, can I get a drop?&quot; I&#39;m like, &quot;Nigga, nah&quot;<br>Ace boon coon from the Westside to Senegal<br>It&#39;s a full moon, let the wolves out, I been a dog (ah)<br>I feel good, get the fuck out my face<br>Look good, but she don&#39;t got no taste<br>I walk in, walked out with the safe<br>Mando, let me know what the play<br>Squabble up, squabble up<br>Squabble up, squabble up<br>Squabble up (mm, mm), squabble up (mm, mm)<br>Squabble up (mm, mm), squabble up",0.125,0.803,0.072,-0.9866,Negative
67c3bfd6b702a263cd40cc32,Did he ever find the broccoli?,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc33,Did he find his broccoli?,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc34,I just found out he used different song titles from artist drake allegedly stole lyrics from to do the snippet of this<br>Fkn genius😱🫡🫡,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc35,Kendrick do you want to hop a song I am 9 year old wanting to be a rapper. I have my own YouTube channel can you hop on my track please.,0,0.87,0.13,0.3818,Positive
67c3bfd6b702a263cd40cc36,I’m 1 haha love that tributes he’s a fucking winner winner wants it all took it all 🎉,0,0.417,0.583,0.9467,Positive
67c3bfd6b702a263cd40cc37,Makes me think of drake,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc38,Recorde me afroman,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc39,is was first this snippet now the body 4 body snippet,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc3a,This reminds me to not like us music video,0.209,0.791,0,-0.2755,Negative
67c3bfd6b702a263cd40cc3b,Hi,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc3c,It&#39;s goated,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc3d,K dot does It once again ❤,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc3e,MY POOKIE KENDRICK NOTICE ME!!!,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc3f,Okay bro chill this is some good music 🎵,0,0.556,0.444,0.5859,Positive
67c3bfd6b702a263cd40cc40,Kendrick is diddy ass,0.538,0.462,0,-0.5423,Negative
67c3bfd6b702a263cd40cc41,"<a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=95"">1:35</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=96"">1:36</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=96"">1:36</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=96"">1:36</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=97"">1:37</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=97"">1:37</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=97"">1:37</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=97"">1:37</a> <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=97"">1:37</a>",0,1,0,0,Neutral
67c3bfd6b702a263cd40cc42,NFL Superbowl halftime show,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc43,Reminds me of 2023,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc44,“It was wolf tickets on sale till I silenced it..”,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc45,❤🥵🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc46,U got the music😂🎉❤,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc47,sounds good ngl👍,0,0.408,0.592,0.4404,Positive
67c3bfd6b702a263cd40cc48,"DRAKE had EVERYONE hooked, he DESTROYED the scene👏🔥",0.36,0.64,0,-0.6037,Negative
67c3bfd6b702a263cd40cc49,Bro every time I listen to this it gives me vibes,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc4a,I love the song,0,0.323,0.677,0.6369,Positive
67c3bfd6b702a263cd40cc4b,Squad up !!,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc4c,⭐️⭐️🤴🏻,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc4d,🔥 el rey 😎🫡,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc4e,W song,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc4f,Its like Freakazoid!!... ❤,0,0.393,0.607,0.4738,Positive
67c3bfd6b702a263cd40cc50,This is great song,0,0.423,0.577,0.6249,Positive
67c3bfd6b702a263cd40cc51,Haha that’s a tiny little fella. Sounds like Kevin hart rapping,0,0.604,0.396,0.6412,Positive
67c3bfd6b702a263cd40cc52,I love his music and this album 💿 ❤❤❤❤❤❤😅😊😊😊❤❤,0,0.588,0.412,0.6369,Positive
67c3bfd6b702a263cd40cc53,Listening to this again because there’s something people are hearing that I’m not 😵‍💫,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc54,Dope rapping,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc55,Don’t<br>Rap<br>Against<br>Kendrick Lamar<br>Ever,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc56,One of my favorites of the album 🔥,0,0.682,0.318,0.4215,Positive
67c3bfd6b702a263cd40cc57,"<a href=""https://www.youtube.com/watch?v=Mijk6H_5qTw"">https://youtu.be/Mijk6H_5qTw?si=fp_67uVGUEIHGRN3</a>",0,1,0,0,Neutral
67c3bfd6b702a263cd40cc58,ay dot can i get a drop? im like ni**ah nah THE ATTITUDE DAMNMNNNNNNNNN,0.233,0.6,0.167,0,Neutral
67c3bfd6b702a263cd40cc59,I Love this song,0,0.323,0.677,0.6369,Positive
67c3bfd6b702a263cd40cc5a,Fuego - pitbull &amp; don Omar beat vibes,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc5b,Did bro find the broccoli,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc5c,This actually goes hard,0.318,0.682,0,-0.1027,Negative
67c3bfd6b702a263cd40cc5d,Goat Conversation now 🔥,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc5e,My kids love this.,0,0.417,0.583,0.6369,Positive
67c3bfd6b702a263cd40cc5f,Squabbles upp,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc60,Woke up looking for the broccoli,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc61,🤔,0,0,0,0,Neutral
67c3bfd6b702a263cd40cc62,What a time to be alive. West coast STAND THEEE F**k UP!!!!!,0,0.726,0.274,0.5815,Positive
67c3bfd6b702a263cd40cc63,This might be one of the worst songs Kendrick Lamar has ever made. Absolutely fucking ATROCIOUS 😂🗑,0.204,0.796,0,-0.6249,Negative
67c3bfd6b702a263cd40cc64,Yes,0,0,1,0.4019,Positive
67c3bfd6b702a263cd40cc65,Kendrick top tier!! Diabolical boogieman!!,0,0.574,0.426,0.453,Positive
67c3bfd6b702a263cd40cc66,"God knows<br>I am<br>Reincarnated, I was stargazin&#39;<br>Life goes on, I need all my babies (gyah, gyah)<br>Woke up lookin&#39; for the broccoli<br>High-key, keep a horn on me, that Kamasi<br>IP, ownership, the blueprint is by me<br>Mr. Get Off, I get off at my feet<br>(When I hear music, it makes me dance)<br>(You got the music, now is your chance)<br>A yee nigga couldn&#39;t try me in the tri-state<br>Buddy pass, bet I get him splashed &#39;til he hydrated<br>Bounce out, know he spook town, eyes dilated<br>I got the money and the power both gyratin&#39;<br>I feel good, get the fuck out my face<br>Look good, but she don&#39;t got no taste<br>I walk in, walked out with the safe<br>Mando, let me know what the play<br>What the fuck? I got hits, I got bucks, I got new paper cuts<br>I got friends, I got foes, but they all sitting ducks<br>Hit his turf and get crackin&#39;, double back like a deluxe<br>Fifty deep, but it ain&#39;t deep enough<br>Fuck a plea, there he go, beat him up<br>Fallin&#39; from my money tree and it grow throughout the months<br>Spit a loogie at the camera, speed off, yeah, it&#39;s us<br>I feel good, get the fuck out my face<br>Look good, but she don&#39;t got no taste<br>I walk in, walked out with the safe<br>Mando, let me know what the play<br>Squabble up, squabble up<br>Squabble up, squabble up<br>Squabble up (mh-mh), squabble up (mh-mh)<br>Squabble up (mh-mh), squabble up<br>Hol&#39; up (hol&#39; up), where you from? (Where you from?)<br>Bye, bitch (bye, bitch), I&#39;m finna go dumb (finna go dumb)<br>Sideways (sideways), bunk skunk (bunk skunk)<br>Fever (fever), I&#39;m on one (I&#39;m on one)<br>Thunk, thunk, thunk, thunk, thunk, baby rockin&#39; it<br>Quid pro quo, what you want? &#39;Cause I&#39;m watchin&#39; it<br>Work on the floor, let me know if you clockin&#39; it<br>Brodie won&#39;t go, but I know that he poppin&#39; it<br>It was woof tickets on sale &#39;til I silenced it<br>Pipe down, young, these some whole other politics<br>Bitch with him and some bitch in him, that&#39;s a lot of bitch<br>Don&#39;t hit him, he got kids with him, my apologies<br>Ghetto child, it was Black &amp; Milds with the Smirnoff<br>Yeehaw, we outside, whoadie &#39;bout to kill him off<br>Blaps on blaps, it&#39;s a fact, this a brick of raw<br>Tell me why the fuck you niggas rap if it&#39;s fictional?<br>Tell me why the fuck you niggas fed if you criminal?<br>&quot;Ayy, Dot, can I get a drop?&quot; I&#39;m like, &quot;Nigga, nah&quot;<br>Ace boon coon from the Westside to Senegal<br>It&#39;s a full moon, let the (ah) wolves out, I been a dog<br>I feel good, get the fuck out my face<br>Look good, but she don&#39;t got no taste<br>I walked in, walked out with the safe<br>Mando, let me know what the play<br>Squabble up, squabble up<br>Squabble up, squabble up<br>Squabble up (mh-mh), squabble up (mh-mh)<br>Squabble up (mh-mh), squabble up",0.134,0.794,0.072,-0.99,Negative
67c3bfd6b702a263cd40cc67,I love your songs  Lamar,0,0.417,0.583,0.6369,Positive
67c3bfd6b702a263cd40cc68,Going to dance to dis on a Friday,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc69,Can’t lie this shit is a bop 🔥🔥🔥🔥,0.415,0.585,0,-0.6428,Negative
67c3bfd6b702a263cd40cc6a,🕺🏻💃🏻🕺🏻💃🏻🕺🏻💃🏻,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc6b,"God knows\r<br>I am reincarnated\r<br>I was stargazin&#39;\r<br>Life goes on, I need all my babies (Gyah, gyah)\r<br>\r<br>Woke up lookin&#39; for the broccoli\r<br>High-key, keep a horn on me, that Kamasi\r<br>IP, ownership, the blueprint is by me\r<br>Mr. Get Off, I get off at my feet\r<br>When I hear music, it makes me dance\r<br>You got the music, now is your chance\r<br>A yee nigga couldn&#39;t try me in the tri-state\r<br>Buddy pass, bet I get him splashed &#39;til he hydrated\r<br>Bounce out, know he spook town, eyes dilated\r<br>I got the money and the power both gyratin&#39;\r<br>\r<br>I feel good, get the fuck out my face\r<br>Look good, but she don&#39;t got no taste\r<br>I walk in, walked out with the safe\r<br>Mando, let me know what the play\r<br>\r<br>What the fuck?\r<br>I got hits, I got bucks, I got new paper cuts\r<br>I got friends, I got foes, but they all sitting ducks\r<br>Hit his turf and get crackin&#39;, double back like a deluxe\r<br>Fifty deep, but it ain&#39;t deep enough\r<br>Fuck a plea, there he go, beat him up\r<br>Fallin&#39; from my money tree and it grow throughout the months\r<br>Spit a loogie at the camera, speed off, yeah, it&#39;s us\r<br>\r<br>I feel good, get the fuck out my face\r<br>Look good, but she don&#39;t got no taste\r<br>I walk in, walked out with the safe\r<br>Mando, let me know what the play\r<br>\r<br>Squabble up, squabble up\r<br>Squabble up, squabble up\r<br>Squabble up (Mm, mm), squabble up (Mm, mm)\r<br>Squabble up (Mm, mm), squabble up\r<br>\r<br>Hol&#39; up (Hol&#39; up)\r<br>Where you from? (Where you from?)\r<br>My bitch (My bitch)\r<br>I&#39;m finna go dumb (Finna go dumb)\r<br>Sideways (Sideways)\r<br>Bunk skunk (Bunk skunk)\r<br>Fever (Fever)\r<br>I&#39;m on one (I&#39;m on one)\r<br>\r<br>Thunk, thunk, thunk, thunk, thunk, baby rockin&#39; it\r<br>Quid pro quo, what you want? &#39;Cause I&#39;m watchin&#39; it\r<br>Work on the floor, let me know if you clockin&#39; it\r<br>Brodie won&#39;t go, but I know that he poppin&#39; it\r<br>It was woof tickets on sale &#39;til I silenced it\r<br>Pipe down, young, these some whole other politics\r<br>Bitch with him and some bitch in him, that&#39;s a lot of bitch\r<br>Don&#39;t hit him, he got kids with him, my apologies\r<br>Ghetto child, it was Black &amp; Milds with the Smirnoff\r<br>Yeehaw, we outside, whoadie &#39;bout to kill him off\r<br>Blaps on blaps, it&#39;s a fact, this a brick of raw\r<br>Tell me why the fuck you niggas rap if it&#39;s fictional?\r<br>Tell me why the fuck you niggas fed if you criminal?\r<br>&quot;Ayy, Dot, can I get a drop?&quot; I&#39;m like, &quot;Nigga, nah&quot;\r<br>Ace boon coon from the Westside to Senegal\r<br>It&#39;s a full moon, let the wolves out, I been a dog (Ah)\r<br>\r<br>I feel good, get the fuck out my face\r<br>Look good, but she don&#39;t got no taste\r<br>I walk in, walked out with the safe\r<br>Mando, let me know what the play\r<br>\r<br>Squabble up, squabble up\r<br>Squabble up, squabble up\r<br>Squabble up (Mm, mm), squabble up (Mm, mm)\r<br>Squabble up (Mm, mm), squabble up",0.132,0.771,0.097,-0.9841,Negative
67c3bfd6b702a263cd40cc6c,😮,0,0,0,0,Neutral
67c3bfd6b702a263cd40cc6d,That first part was they not like us,0.232,0.768,0,-0.2755,Negative
67c3bfd6b702a263cd40cc6e,Loved that super bowl 🎉🎉🎉🎉🎉,0,0.278,0.722,0.8316,Positive
67c3bfd6b702a263cd40cc6f,Hey i just wanna say your a GENIUS!,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc70,Love ur song!,0,0.308,0.692,0.6696,Positive
67c3bfd6b702a263cd40cc71,F*<b>***</b> fire is cancel a bar comes out with another banger I&#39;m not going to say anything the only thing I&#39;m going to say is yes,0.151,0.756,0.093,-0.1779,Negative
67c3bfd6b702a263cd40cc72,"Terrible song , absobloodylutely trash ! 🤢💔👎🏿",0.459,0.541,0,-0.5255,Negative
67c3bfd6b702a263cd40cc73,It the vibeeeee😊,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc74,This is just great❤🎉,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc75,🔥🔥🔥🔥🔥🔥🔥,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc76,Mr get off pause,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc77,Çrytoiops crypt crystal ight sluptred the whole sprt lyles fire pit crippling single handed Ray bradberry Woody,0.13,0.87,0,-0.34,Negative
67c3bfd6b702a263cd40cc78,Hello,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc79,The Best 👌,0,0.192,0.808,0.6369,Positive
67c3bfd6b702a263cd40cc7a,Superbowl backup dancers: someone better squabble upp👩🏾‍🦰🤜🤛,0,0.674,0.326,0.4404,Positive
67c3bfd6b702a263cd40cc7b,Reminds me of this generation+200s generation hip-hop music,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc7c,Damn this reminds me of that day when u bout to fight and u square up,0.306,0.694,0,-0.6486,Negative
67c3bfd6b702a263cd40cc7d,The Spirit of Makaveli!,0,0.601,0.399,0.2481,Positive
67c3bfd6b702a263cd40cc7e,Cinta yang telah berpartisipasi,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc7f,❤❤❤❤,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc80,I LOVE THIS well done Kendrick,0,0.299,0.701,0.7925,Positive
67c3bfd6b702a263cd40cc81,"<a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=6"">0:06</a>",0,1,0,0,Neutral
67c3bfd6b702a263cd40cc82,Hey in the superbowl was you saying drake killed xxxtentaction,0.333,0.667,0,-0.6705,Negative
67c3bfd6b702a263cd40cc83,FAVORITE song,0,0.211,0.789,0.5766,Positive
67c3bfd6b702a263cd40cc84,"Shit dope , Kendrick did that",0.474,0.526,0,-0.5574,Negative
67c3bfd6b702a263cd40cc85,I’m in love with this song I be a fan of him since I was 1 years old 😂,0,0.649,0.351,0.7579,Positive
67c3bfd6b702a263cd40cc86,This whole album raw asl no bs 💯😭🤘🏼🩸,0.239,0.761,0,-0.296,Negative
67c3bfd6b702a263cd40cc87,It just make you wanna hit that c-walk but you can&#39;t.,0,1,0,0,Neutral
67c3bfd6b702a263cd40cc88,"Best song ever <a href=""https://www.youtube.com/watch?v=NYH6Oa4PXlY&amp;t=51"">0:51</a>",0,0.488,0.512,0.6369,Positive
67c3bfd6b702a263cd40cc89,Kendrick drake just drop something u have to drop smt too I’m ur biggest fan,0.24,0.629,0.131,-0.2263,Negative
